#SampleID	ID1	State	Year	SiteAlias	SampleID2	Collected_Date	WaterbodyName	Latitude	Longitude	COMID	US_L4CODE	US_L3CODE	DIST_Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI_v2_1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN_2008Cat	NO3_2008Cat	InorgNWetDep_2008Cat	NH4_2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST_Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw_fluxCat	WaterInputCat	wdrw_LDCat	WetIndexCat	Temperature_DegC	SpecConductivity_msCm	DO	Tot_Alk	NO3NO2	Chloride	Chla_area	Color_app	TKN	TN	TP	Turbidity	TDS	Chla_conc	pH
PrimeStrs_4828	PrimeStrs_4828	MA	2023	PrimeStrs_4828	PrimeStrs_4828	8/4/2023	Mill Brook	42.627948	-72.87238	10294828	58c	58	SomeStrs	2.5263	30.9177	45.0509	294.7364	2.0293	13.8216	4.8793	8.2038	58.2639	3.915	0.0366	0.15	1.5493	0.0294	0.3167	144.6187	0.600486201	2.9	0.017	0.23	100	646.6723	12.3012	4.6164	2.3756	4.98	83.47	7.23	0.21	7.23	0	3556.953713	3016.81937	1251.630426	13.29679614	7.311507214	-11.75411459	17.71158814	156.3966	862	5.71	38.76	162.12	1.04	9.88	90.01	403818	8.25E-05	67.3892	699.5294	15.1	99.5	9.84	12.6	0.12	6.6	0.0026	7	0.15	0.15	0.005	0.54	36	0.476	6.61
PrimeStrs_4942	PrimeStrs_4942	MA	2023	PrimeStrs_4942	PrimeStrs_4942	8/4/2023	Clesson Brook	42.61318373	-72.76875885	10294942	58f	58	Strs	12.6999	47.2959	46.1652	277.1685	1.6333	12.4402	6.0369	6.016	56.3773	2.6068	0.0506	0.1332	2.0406	0.0289	0.2228	106.5713	0.537702278	1.62	0.0382	0.2596	61.57	646.899	12.2103	4.5979	2.3787	3.32	77.24	13.83	1.3	11.87	1.96	20836.52533	18668.34122	1267.957279	13.47004873	7.446416129	-11.59997912	18.12492034	154.992	862	5.5408	42.7181	140.1968	0.6588	9.0644	94.1386	403818	0.000829804	136.6279	696.7937	15.7	221	10.02	37.6	0.3	21	0.0029	5	0.301	0.6	0.005	1	96	0.583	6.93
PrimeStrs_4946	PrimeStrs_4946	MA	2023	PrimeStrs_4946	PrimeStrs_4946	8/3/2023	Dragon Brook	42.57552738	-72.68265163	10294946	58f	58	Strs	14.1696	16.8804	47.8016	224.6896	1.4876	12.3681	6.3843	6.2961	54.9656	2.928	0.0527	0.1317	2.0182	0.0321	0.2115	102.915	0.4509362	2.1	0.048	0.2248	96.49	653.2162	12.2616	4.631	2.4069	4.44	67.69	19.08	2.34	19.08	0	26760.80861	24368.52021	1255.703888	13.80394197	7.681578291	-11.50626278	17.39834434	146.86	862	6.4096	45.4194	76.8139	0.7833	5.4597	137.2348	403818	0.00132185	193.1843	721.8047	17.6	233	10.39	66	0.24	22	2.00E-04	12	0.15	0.15	0.005	0.76	120	0.039	7.75
PrimeRef_5108	PrimeRef_5108	MA	2023	PrimeRef_5108	PrimeRef_5108	8/3/2023	Green River	42.71614182	-72.66956043	10295108	58f	58	Ref	1.5759	96.9237	46.8892	241.6133	1.4936	11.8095	8.684	5.9935	50.7736	2.8381	0.0594	0.1335	1.878	0.0305	0.2452	94.0294	0.80812228	0.37	0.0021	0.23	100	664.9066	12.5758	4.731	2.4438	0.34	88.29	1.31	1.2	1.31	0	1688.146355	1364.414959	1326.8348	13.62027396	7.504883928	-11.83260987	18.26511231	145.3025	862	5.71	38.76	162.12	1.04	9.88	90.01	403818	6.13E-06	8.5147	708.2393	14.3	96	11.37	40	0.05	2.8	0.0018	6	0.15	0.15	0.005	0.51	55	0.359	7.42
PrimeRef_5108_QC	PrimeRef_5108_QC	MA	2023	PrimeRef_5108	PrimeRef_5108_QC	8/3/2023	Green River	42.71614182	-72.66956043	10295108	58f	58	Ref	1.5759	96.9237	46.8892	241.6133	1.4936	11.8095	8.684	5.9935	50.7736	2.8381	0.0594	0.1335	1.878	0.0305	0.2452	94.0294	0.80812228	0.37	0.0021	0.23	100	664.9066	12.5758	4.731	2.4438	0.34	88.29	1.31	1.2	1.31	0	1688.146355	1364.414959	1326.8348	13.62027396	7.504883928	-11.83260987	18.26511231	145.3025	862	5.71	38.76	162.12	1.04	9.88	90.01	403818	6.13E-06	8.5147	708.2393	15.8	96	11.13	31	0.05	2.8	3.00E-04	7	0.372	0.37	0.005	0.29	42	0.064	7.44
PrimeRef_5122	PrimeRef_5122	MA	2023	PrimeRef_5122	PrimeRef_5122	8/4/2023	Houghton Brook	42.63407278	-72.74033202	10295122	58f	58	BestRef	2.8719	2.8719	45.8963	368.5743	1.2769	13.0334	1.1964	6.4584	64.0854	2.4585	0.0475	0.1305	2.3433	0.0304	0.1989	111.7046	0.844679188	0.28	4.00E-04	0.2567	89.69	655.3084	12.3847	4.6612	2.4095	0.43	96.24	0.22	1.82	0.22	0	2751.7183	2179.22851	1296.753868	12.94850555	7.171274477	-11.59614568	16.29553356	156.6751	862	5.73	41.0523	140.4	0.64	7.69	91.06	403818	1.96E-06	1.4601	679.3736	15.7	101	9.56	30.4	0.12	1.1	6.00E-04	5	0.15	0.15	0.005	0.38	36	0.116	6.83
OverRef_5132	OverRef_5132	MA	2023	OverRef_5132	OverRef_5132	8/4/2023	Chickley River	42.609932	-72.928931	10295132	58c	58	Ref	5.4675	49.473	46.9862	369.1132	2.3058	14.2851	4.9798	7.2826	59.0763	3.1487	0.0383	0.1516	1.7921	0.0371	0.2955	119.8732	0.781126645	0.5	0.0055	0.23	100	659.8228	12.5575	4.7112	2.4233	0.89	91.71	2.57	1.02	2.57	0	6342.21265	5141.84912	1264.412389	12.84887725	7.073277992	-11.63708645	17.64985226	167.02	862	5.71	38.76	162.12	1.04	9.88	90.01	403818	5.67E-05	21.6277	670.2181	17.3	68.7	9.49	6.2	0.05	5.6	0.0013	13	0.15	0.15	0.005	0.39	14	0.255	6.28
PrimeStrs_0195	PrimeStrs_0195	MA	2023	PrimeStrs_0195	PrimeStrs_0195	8/4/2023	Paull Brook	42.70321	-73.176559	22290195	58b	58	HighStrs	4.9266	8.5122	48.5446	297.0444	0.414	4.3268	23.5275	2.6679	26.3063	3.7201	0.0759	0.0914	0.8925	0.0187	0.1132	115.2069	0.389571812	4.44	0.0893	0.2729	14.14	663.4281	12.7846	4.7811	2.4471	8.46	53.54	26.35	4.28	23.24	3.11	8964.757187	8762.936698	1158.125578	13.25697868	7.517206207	-11.59464764	15.78510439	232.3358	714	10.3341	35.5042	131.7934	2.7837	6.0488	121.2558	410926	6.39E-05	103.9667	731.0588	18	215	10.18	97	0.24	2.7	0.0034	70	0.493	0.73	0.082	43	90	0.697	7.12
PrimeStrs_0213	PrimeStrs_0213	MA	2023	PrimeStrs_0213	PrimeStrs_0213	8/4/2023	Green River	42.670541	-73.234217	22290213	58b	58	Strs	4.563	82.2249	47.946	286.4691	0.3754	3.5301	26.352	2.3052	22.2028	2.9202	0.0836	0.0916	0.8798	0.0116	0.1244	110.3412	0.376853744	3.03	0.1186	0.2794	26.15	620.8919	11.9564	4.4783	2.2974	5.11	43.53	37.05	0.55	35.33	1.72	6177.773847	5264.453019	1133.927881	13.32647934	7.521539116	-11.73573962	17.26913775	209.3476	714	11.901	34.3354	121.5171	3.3443	4.7506	131.8436	410926	8.11E-05	139.3868	746.1886	16.1	180	11.15	61.6	0.17	9.9	0.0041	20	0.447	0.62	0.025	7.5	76	0.832	7.31
PrimeStrs_0213_QC	PrimeStrs_0213_QC	MA	2023	PrimeStrs_0213	PrimeStrs_0213_QC	8/4/2023	Green River	42.670541	-73.234217	22290213	58b	58	Strs	4.563	82.2249	47.946	286.4691	0.3754	3.5301	26.352	2.3052	22.2028	2.9202	0.0836	0.0916	0.8798	0.0116	0.1244	110.3412	0.376853744	3.03	0.1186	0.2794	26.15	620.8919	11.9564	4.4783	2.2974	5.11	43.53	37.05	0.55	35.33	1.72	6177.773847	5264.453019	1133.927881	13.32647934	7.521539116	-11.73573962	17.26913775	209.3476	714	11.901	34.3354	121.5171	3.3443	4.7506	131.8436	410926	8.11E-05	139.3868	746.1886	17	185	11.3	65	0.17	10	0.0045	26	0.15	0.46	0.022	7	89	0.905	7.33
PrimeRef_0231	PrimeRef_0231	MA	2023	PrimeRef_0231	PrimeRef_0231	8/4/2023	Green River	42.62867059	-73.22503856	22290231	58a	58	Ref	11.9016	39.3336	47.0055	500.4512	0.9921	11.5944	6.5992	5.4885	53.8257	2.5276	0.0457	0.1183	2.6983	0.042	0.0673	100.7266	0.734925623	0.8	0.014	0.247	100	678.2527	13.0226	4.8802	2.5056	1.5	88.11	4.78	1.74	4.14	0.64	13487.22525	10775.98748	1277.573053	12.28588238	6.794717146	-11.83608593	16.51364049	226.1871	714	7.7587	36.2649	154.7965	1.3831	8.5715	95.8705	410926	2.29E-05	16.99	669.4524	15.7	223	11.17	78	0.19	14	0.0019	14	0.15	0.46	0.011	2	98	0.392	7.14
PrimeRef_0641	PrimeRef_0641	MA	2023	PrimeRef_0641	PrimeRef_0641	8/1/2023	Gravelly Brook	42.6603635	-70.9032051	5860641	59f	59	SubRef	5.8005	5.8005	55.0304	22.6702	3.1346	15.1287	6.5249	7.9621	56.7431	4.0255	0.0357	0.2362	1.8632	0.0138	0.4706	135.3391	0.818363832	3.85	0.002	0.1985	0	589.1509	10.6736	3.9798	2.0266	7.52	47.71	0.78	40.25	0.78	0	11768.86648	11294.11892	1257.165829	14.8008772	9.427476018	-7.721598098	17.85887861	14.7386	509	4.4125	58.3923	105.102	0.8741	18.6853	142.6462	2004387	2.09E-05	77.6195	819.2729	20.5	75	4.92	30	0.05	28	3.00E-04	240	0.905	0.9	0.034	3.1	120	0.059	6.42
PrimeRef_0641_QC	PrimeRef_0641_QC	MA	2023	PrimeRef_0641	PrimeRef_0641_QC	8/1/2023	Gravelly Brook	42.6603635	-70.9032051	5860641	59f	59	SubRef	5.8005	5.8005	55.0304	22.6702	3.1346	15.1287	6.5249	7.9621	56.7431	4.0255	0.0357	0.2362	1.8632	0.0138	0.4706	135.3391	0.818363832	3.85	0.002	0.1985	0	589.1509	10.6736	3.9798	2.0266	7.52	47.71	0.78	40.25	0.78	0	11768.86648	11294.11892	1257.165829	14.8008772	9.427476018	-7.721598098	17.85887861	14.7386	509	4.4125	58.3923	105.102	0.8741	18.6853	142.6462	2004387	2.09E-05	77.6195	819.2729				36.8	0.05	28	3.00E-04	220	0.886	0.89	0.026	2.8	130	0.057	6.29
OverStrs_6719	OverStrs_6719	MA	2023	OverStrs_6719	OverStrs_6719	8/1/2023	Pecunit Brook	42.189057	-71.144304	5866719	59c	59	Strs	3.0411	3.0411	56	32.7839	1.204	10.1714	1.0929	2.9886	71.3276	1.1686	0.0913	0.1291	2.0377	0.0203	0.0569	93.7264	0.596103347	25.14	0	0.18	0	581.5921	10.4875	3.9253	2.0103	44.37	11.22	0.18	12.19	0.18	0	12487.03909	12225.67403	1284.425365	15.70416052	9.941491933	-7.534596001	18.63649746	3.9467	509	2.35	71.6592	136.77	0.9599	32.24	146.05	2004387	0	0	824.2069	22.1	430	7.25	29.4	0.32	96	0.0025	120	0.447	0.77	0.07	4.2	240	0.441	6.58
PrimeStrs_5477	PrimeStrs_5477	MA	2023	PrimeStrs_5477	PrimeStrs_5477	8/2/2023	Unnamed Tributary	42.633273	-71.906434	6075477	58g	58	Strs	5.3145	12.0051	49.8356	344.2221	1.1775	14.5004	0.98	7.095	59.645	2.755	0.0525	0.135	2.9675	0.0504	0.1369	71.8914	0.564188772	6.71	0.0136	0.23	0.05	653.635	12.1271	4.5976	2.4027	12.99	67.13	4.23	4.81	4.23	0	9944.965384	9838.988485	1256.476867	13.18436546	7.455774777	-10.96951729	18.43101181	91.6624	505.3268	6.21	42.19	96.6	2.22	4.04	130.17	593796.597	5.45E-05	197.6682	752.2432	18.5	150	8.91	9.4	0.15	24	0.0016	44	2.51	2.7	0.011	1.6	55	0.327	6.62
PrimeStrs_5799	PrimeStrs_5799	MA	2023	PrimeStrs_5799	PrimeStrs_5799	7/31/2023	Smith Brook	42.525246	-71.890493	6075799	58g	58	Strs	1.8459	5.5971	51	300.8397	1.6783	14.4954	1.769	6.5405	61.4897	2.4846	0.0473	0.1375	2.7926	0.0422	0.1569	88.8448	0.577918041	3.84	0.0301	0.2263	63.29	658.3814	12.226	4.621	2.4043	7.7	63.63	5.12	10.87	5.12	0	3350.755562	3098.360301	1240.19134	13.56954787	8.07687706	-10.63549491	18.80188545	108.0699	494	6.355	44.3019	82.3335	1.2955	4.8722	135.9258	594044	2.42E-05	249.6921	791.6875	19.3	234	7.42	9	0.11	52	0.001	44	0.34	0.45	0.005	1	110	0.184	6.18
OverStrs_6089	OverStrs_6089	MA	2023	OverStrs_6089	OverStrs_6089	8/2/2023	Monoosnoc Brook	42.5301171	-71.7527373	6076089	59h	59	HighStrs	1.4409	29.4471	52.0687	110.1323	2.2759	14.2075	4.36	6.645	60.4379	2.6575	0.04	0.15	1.98	0.0402	0.2988	110.3559	0.394296403	64.44	0.0012	0.1633	0	619.8155	11.4893	4.3312	2.2441	88.31	5.06	0.5	0.19	0.5	0	11568.71988	14050.73243	1175.857697	15.14778233	9.150068888	-10.18744537	19.1111496	71.6521	494	4.5036	55.1369	103.261	0.668	18.1045	107.8048	594044	1.99E-06	24.9253	860.9638	22.3	278	8.76	16	0.17	47	0.0021	32	0.328	0.5	0.005	1.1	120	0.43	7.01
PrimeRef_6221	PrimeRef_6221	MA	2023	PrimeRef_6221	PrimeRef_6221	8/3/2023	Middle Branch Westfield River	42.29799	-72.90028	6096221	58e	58	Ref	0.3726	126.7785	44	210.2274	1.2431	12.0397	1.1818	5.8893	66.6957	2.1583	0.0387	0.1243	2.1316	0.0234	0.1654	141.2709	0.880965986	0.05	0	0.2215	100	744.2936	13.9224	5.2516	2.7236	0	88.16	2.66	7.97	2.66	0	379.573831	302.4483581	1231.37293	14.49220042	8.141568412	-11.88454077	20.12961178	145.6493	711	6.44	45.503	73.97	0.79	5.36	139.3	561412	0	0	729.2222	19.3	85	9.65	17.8	0.05	5.5	0.0015	13	0.344	0.34	0.005	0.42	28	0.3	7.06
PrimeStrs_8803	PrimeStrs_8803	MA	2023	PrimeStrs_8803	PrimeStrs_8803	8/6/2023	West Branch Westfield River	42.332167	-73.074457	6098803	58b	58	SomeStrs	4.5603	60.0759	43.09	430.713	2.4087	13.8391	2.4396	5.1666	67.328	1.7877	0.0311	0.1301	2.678	0.0089	0.1643	133.2324	0.806636814	0.59	0.0036	0.23	100	751.8628	14.1249	5.3243	2.758	0.99	89.38	1.22	4.15	1.22	0	5361.469319	4292.043912	1289.674023	12.90215144	7.110907551	-11.29407919	18.66670073	135.5418	711	5.8515	39.7557	143.5773	1.3763	8.2272	101.3756	561412	2.30E-06	4.4927	721.4969	18.2	195.1	9.5	34.2	0.05	22	0.0045	22	0.15	0.15	0.005	0.76	86	0.847	7.52
PrimeRef_5399	PrimeRef_5399	MA	2023	PrimeRef_5399	PrimeRef_5399	8/5/2023	Hubbard River	42.0638035	-72.96601513	6105399	58d	58	Ref	2.7477	32.5989	45.8582	363.0748	0.6159	10.0081	1.1681	2.9057	69.8138	1.3424	0.0636	0.1239	2.5945	0.0702	0.0961	82.8632	0.875790342	0.09	0	0.2422	100	710.8834	13.2391	4.9844	2.5772	0.1	92.04	0	5.01	0	0	2894.388867	2336.331227	1307.741016	13.43889505	7.602630739	-11.58778284	18.52491583	142.9948	697	6.0349	44.3666	141.8358	1.8651	9.2334	105.1802	690776	0	0	760.2185	17.9	45	9	3.6	0.05	5.1	0.0017	48	0.738	0.74	0.01	0.67	6.5	0.324	6.58
PrimeRef_6949	PrimeRef_6949	MA	2023	PrimeRef_6949	PrimeRef_6949	8/6/2023	West Branch Farmington River	42.25968084	-73.13270382	6106949	58d	58	BestRef	4.9689	4.9689	43.3264	503.9069	3.025	14.3582	2.2833	4.1509	69.0541	1.1913	0.019	0.1253	2.9369	0.0064	0.1032	140.6314	0.843185793	0.46	0	0.23	91.61	688.096	12.8827	4.8719	2.5356	0.88	85.15	0.04	8.75	0.04	0	5498.5346	4469.556292	1282.301406	12.25058681	7.014641118	-10.94051801	15.72830849	141.9295	693.8919	5.7167	38.877	161.2418	1.0558	9.8017	90.5483	690463.7323	0	0	745.8906	16.1	54.7	9.52	9.2	0.12	3.2	0.0015	29	0.15	0.15	0.005	0.46	30	0.3	6.97
